data,categoria,centro_custo,tipo_despesa,valor
2020-01-01,Infraestrutura,Comercial,Variável,-2187.15
2020-01-02,Serviços,Operacional,Variável,-3865.47
2020-01-03,Pessoal,Administrativo,Fixa,-1594.86
2020-01-03,Serviços,Comercial,Fixa,-2844.81
2020-01-04,Serviços,RH,Fixa,-2692.23
2020-01-04,Aluguel,Comercial,Variável,-2053.0
2020-01-05,Serviços,Comercial,Fixa,-2474.87
2020-01-06,Infraestrutura,Administrativo,Fixa,-2393.87
2020-01-07,Infraestrutura,Administrativo,Fixa,-2958.42
2020-01-07,Serviços,Operacional,Variável,-2238.53
2020-01-08,Serviços,RH,Fixa,-2124.69
2020-01-09,Pessoal,Comercial,Fixa,-1114.63
2020-01-09,Infraestrutura,Operacional,Fixa,-2047.68
2020-01-09,Aluguel,Operacional,Fixa,-2673.05
2020-01-10,Aluguel,Comercial,Variável,-1685.11
2020-01-11,Infraestrutura,Comercial,Fixa,-2129.26
2020-01-12,Infraestrutura,Operacional,Fixa,-3495.62
2020-01-12,Pessoal,Administrativo,Variável,-1617.61
2020-01-13,Aluguel,Operacional,Fixa,-1816.13
2020-01-14,Serviços,Comercial,Fixa,-3197.42
2020-01-15,Marketing,Operacional,Variável,-970.86
2020-01-16,Pessoal,RH,Fixa,-2248.59
2020-01-17,Serviços,Operacional,Fixa,-2230.43
2020-01-17,Serviços,Operacional,Fixa,-3019.43
2020-01-17,Serviços,Administrativo,Variável,-2889.98
2020-01-18,Aluguel,Operacional,Fixa,-2355.6
2020-01-18,Aluguel,Operacional,Fixa,-2322.61
2020-01-18,Pessoal,Comercial,Variável,-1874.5
2020-01-19,Pessoal,Administrativo,Fixa,-2470.94
2020-01-19,Serviços,Comercial,Fixa,-1552.65
2020-01-20,Marketing,Operacional,Fixa,-1419.98
2020-01-20,Pessoal,RH,Fixa,-1637.15
2020-01-21,Serviços,RH,Variável,-2137.0
2020-01-21,Pessoal,RH,Fixa,-772.86
2020-01-22,Pessoal,Comercial,Fixa,-3369.4
2020-01-23,Aluguel,Administrativo,Variável,-2361.21
2020-01-23,Serviços,RH,Fixa,-2112.18
2020-01-24,Serviços,Administrativo,Fixa,-1795.37
2020-01-25,Marketing,Administrativo,Fixa,-2341.52
2020-01-26,Pessoal,Comercial,Variável,-1961.15
2020-01-26,Marketing,Operacional,Variável,-1514.14
2020-01-26,Aluguel,RH,Variável,-2688.74
2020-01-27,Serviços,RH,Variável,-2735.14
2020-01-27,Serviços,Comercial,Variável,-2541.54
2020-01-28,Infraestrutura,Operacional,Variável,-2911.88
2020-01-28,Infraestrutura,RH,Variável,-3512.08
2020-01-29,Marketing,Administrativo,Variável,-1856.01
2020-01-29,Pessoal,Administrativo,Fixa,-2476.21
2020-01-30,Pessoal,RH,Fixa,-801.86
2020-01-30,Serviços,Administrativo,Variável,-2864.8
2020-01-31,Aluguel,Administrativo,Variável,-1816.3
2020-02-01,Pessoal,RH,Variável,-1315.12
2020-02-01,Marketing,Operacional,Fixa,-1978.26
2020-02-02,Pessoal,Operacional,Fixa,-2642.02
2020-02-02,Serviços,Operacional,Variável,-1145.78
2020-02-03,Infraestrutura,Operacional,Variável,-4990.51
2020-02-03,Marketing,Administrativo,Fixa,-2944.13
2020-02-03,Pessoal,Operacional,Variável,-1304.14
2020-02-04,Pessoal,Operacional,Fixa,-1346.61
2020-02-05,Marketing,Operacional,Fixa,-2404.64
2020-02-05,Pessoal,Comercial,Variável,-3781.66
2020-02-05,Aluguel,Comercial,Fixa,-1800.19
2020-02-06,Pessoal,Operacional,Fixa,-2495.53
2020-02-06,Pessoal,Operacional,Variável,-1458.43
2020-02-07,Serviços,RH,Fixa,-2562.66
2020-02-07,Pessoal,Administrativo,Variável,-503.82
2020-02-07,Marketing,Operacional,Fixa,-2095.7
2020-02-08,Serviços,RH,Fixa,-1169.51
2020-02-09,Infraestrutura,Comercial,Fixa,-2446.38
2020-02-09,Aluguel,Operacional,Fixa,-2487.36
2020-02-10,Pessoal,Operacional,Fixa,-1635.8
2020-02-11,Marketing,Comercial,Fixa,-1595.91
2020-02-12,Pessoal,RH,Fixa,-1753.63
2020-02-12,Pessoal,Administrativo,Fixa,-2734.5
2020-02-12,Pessoal,Comercial,Fixa,-2889.57
2020-02-13,Aluguel,RH,Fixa,-2436.43
2020-02-14,Marketing,Administrativo,Variável,-997.91
2020-02-14,Serviços,Administrativo,Fixa,-2667.82
2020-02-15,Pessoal,Administrativo,Variável,-2429.19
2020-02-15,Pessoal,Comercial,Fixa,-2225.93
2020-02-16,Serviços,RH,Variável,-2298.68
2020-02-16,Serviços,RH,Fixa,-1202.25
2020-02-16,Marketing,RH,Variável,-506.82
2020-02-17,Infraestrutura,Operacional,Fixa,-2596.07
2020-02-17,Marketing,Comercial,Fixa,-777.89
2020-02-18,Pessoal,Administrativo,Variável,-1325.08
2020-02-19,Infraestrutura,RH,Variável,-3661.45
2020-02-19,Infraestrutura,RH,Variável,-2044.29
2020-02-20,Aluguel,Administrativo,Fixa,-2903.19
2020-02-20,Aluguel,RH,Variável,-3182.23
2020-02-21,Infraestrutura,RH,Variável,-2247.03
2020-02-21,Pessoal,Administrativo,Fixa,-2981.27
2020-02-21,Infraestrutura,RH,Variável,-1619.05
2020-02-22,Marketing,RH,Fixa,-792.71
2020-02-22,Serviços,Operacional,Fixa,-1891.62
2020-02-22,Serviços,Administrativo,Variável,-1340.08
2020-02-23,Serviços,Operacional,Fixa,-1118.3
