data,tipo,categoria,centro_custo,forma_pagamento,valor,saldo_acumulado
2020-01-01,Saída,Impostos,Operacional,Transferência,-932.25,-932.25
2020-01-01,Saída,Fornecedores,Operacional,Boleto,-3907.66,-4839.91
2020-01-01,Saída,Fornecedores,Comercial,Cartão,-1923.2,-6763.11
2020-01-02,Saída,Impostos,RH,Boleto,-1924.26,-8687.37
2020-01-02,Saída,Impostos,Administrativo,Cartão,-1037.69,-9725.06
2020-01-02,Saída,Marketing,Administrativo,Boleto,-1479.27,-11204.32
2020-01-03,Saída,Fornecedores,Administrativo,Transferência,-3142.1,-14346.42
2020-01-03,Entrada,Impostos,RH,Transferência,1375.25,-12971.18
2020-01-04,Entrada,Salários,Comercial,Cartão,546.51,-12424.66
2020-01-04,Saída,Marketing,Operacional,Boleto,-960.27,-13384.93
2020-01-04,Entrada,Fornecedores,Comercial,Cartão,988.88,-12396.05
2020-01-04,Entrada,Salários,Administrativo,Pix,1071.22,-11324.83
2020-01-04,Saída,Salários,Comercial,Boleto,-3185.39,-14510.23
2020-01-05,Saída,Marketing,RH,Pix,-1748.84,-16259.06
2020-01-05,Saída,Impostos,Comercial,Transferência,-847.39,-17106.46
2020-01-05,Saída,Marketing,RH,Cartão,-911.72,-18018.17
2020-01-05,Saída,Impostos,RH,Cartão,-1229.15,-19247.33
2020-01-05,Saída,Fornecedores,Operacional,Cartão,-2744.87,-21992.2
2020-01-06,Saída,Fornecedores,RH,Pix,-1133.8,-23126.01
2020-01-06,Saída,Impostos,Operacional,Boleto,-2241.8,-25367.8
2020-01-06,Saída,Fornecedores,Operacional,Cartão,-1570.34,-26938.15
2020-01-06,Saída,Fornecedores,RH,Transferência,-2876.0,-29814.14
2020-01-07,Saída,Impostos,Operacional,Transferência,-3116.11,-32930.25
2020-01-07,Saída,Marketing,Comercial,Cartão,-843.08,-33773.34
2020-01-08,Saída,Fornecedores,RH,Boleto,-3513.42,-37286.76
2020-01-08,Saída,Marketing,Comercial,Pix,-1721.27,-39008.03
2020-01-08,Entrada,Vendas,RH,Pix,3635.38,-35372.65
2020-01-09,Saída,Salários,Operacional,Boleto,-2109.84,-37482.49
2020-01-09,Entrada,Vendas,RH,Cartão,3245.89,-34236.6
2020-01-09,Entrada,Fornecedores,RH,Pix,1421.21,-32815.39
2020-01-09,Entrada,Fornecedores,Comercial,Boleto,1434.62,-31380.77
2020-01-09,Entrada,Vendas,Administrativo,Cartão,3502.8,-27877.97
2020-01-10,Saída,Marketing,Comercial,Transferência,-820.55,-28698.52
2020-01-10,Saída,Vendas,Operacional,Cartão,-572.11,-29270.63
2020-01-10,Saída,Marketing,Comercial,Transferência,-1238.63,-30509.26
2020-01-11,Saída,Marketing,Comercial,Boleto,-1473.23,-31982.49
2020-01-11,Saída,Marketing,Operacional,Transferência,-1675.72,-33658.22
2020-01-12,Saída,Salários,Comercial,Pix,-2628.32,-36286.53
2020-01-12,Entrada,Vendas,RH,Boleto,4665.17,-31621.36
2020-01-12,Entrada,Marketing,Operacional,Boleto,1303.97,-30317.4
2020-01-13,Entrada,Fornecedores,Administrativo,Boleto,1628.23,-28689.17
2020-01-13,Saída,Salários,Administrativo,Cartão,-3450.31,-32139.48
2020-01-13,Saída,Vendas,RH,Pix,-753.33,-32892.81
2020-01-13,Saída,Marketing,Administrativo,Pix,-1594.16,-34486.96
2020-01-14,Entrada,Vendas,Comercial,Cartão,2758.76,-31728.2
2020-01-14,Saída,Fornecedores,Operacional,Boleto,-3184.95,-34913.15
2020-01-14,Saída,Marketing,Administrativo,Pix,-1006.99,-35920.14
2020-01-14,Saída,Marketing,Comercial,Boleto,-1440.32,-37360.46
2020-01-15,Entrada,Vendas,Operacional,Cartão,4139.48,-33220.98
2020-01-15,Entrada,Fornecedores,Administrativo,Cartão,1016.39,-32204.59
2020-01-16,Entrada,Vendas,Comercial,Cartão,5138.41,-27066.18
2020-01-16,Saída,Fornecedores,RH,Boleto,-1721.74,-28787.92
2020-01-16,Saída,Marketing,Operacional,Transferência,-1586.31,-30374.24
2020-01-16,Saída,Impostos,Operacional,Pix,-760.97,-31135.21
2020-01-17,Saída,Impostos,Comercial,Cartão,-813.35,-31948.56
2020-01-17,Saída,Impostos,Administrativo,Transferência,-1595.32,-33543.87
2020-01-17,Saída,Vendas,Administrativo,Cartão,-346.77,-33890.65
2020-01-18,Saída,Marketing,RH,Cartão,-1214.51,-35105.16
